G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
9,  .,   .,   .,   .,   .,   .,4.9,   .,  .,   .,   .,   .
10,  .,   .,   .,   .,1,   .,   .,   .,  .,   .,   .,   .
11,7.8,   .,   .,   .,   .,   .,   .,   .,  .,10.2,   .,   .
12,27.6,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
13,  .,   .,   .,   .,   .,   .,   .,   .,  .,1.6,   .,   .
14,  .,   .,   .,   .,   .,   .,   .,   .,  .,35.3,   .,   .
15,  .,   .,   .,   .,5,9.9,   .,   .,5,55.4,   .,   .
16,  .,   .,   .,   .,14.3,22.8,   .,14.2,7.4,51.7,   .,   .
17,4.7,   .,4.2,   .,   .,5.7,   .,12.6,8.1,13.2,   .,   .
18,9.4,   .,   .,5.8,   .,   .,   .,15.4,  .,4.3,   .,   .
19,  .,   .,   .,8.9,   .,   .,   .,5,  .,11.2,1.5,   .
20,  .,   .,   .,   .,   .,11.8,   .,22.7,  .,12.4,   .,   .
21,  .,   .,   .,   .,9.7,6.4,   .,   .,  .,   .,10.9,   .
22,18.2,11.3,3.2,   .,   .,   .,   .,10.1,  .,   .,25.3,   .
23,3,18.4,   .,   .,7.4,   .,   .,   .,  .,   .,   .,   .
24,  .,15.3,   .,   .,10.6,33.7,   .,   .,14.2,   .,   .,   .
25,  .,   .,   .,9.3,   .,   .,   .,15.2,10.5,   .,   .,   .
26,  .,   .,34.3,   .,2,   .,21.4,   .,11.3,   .,   .,   .
27,  .,   .,26.7,   .,   .,   .,   .,   .,  .,   .,   .,   .
28,  .,   .,20,8.2,   .,   .,5,   .,  .,   .,   .,   .
29,  .,,   .,15.6,   .,   .,   .,   .,  .,13.7,   .,   .
30,70.1,,   .,   .,   .,   .,   .,   .,  .,17.4,   .,   .
31,35.2,,   .,,   .,,13.9,   .,,   .,,   .
2016,,,,,,,,,,,,
1,  .,   .,7.5,   .,   .,   .,   .,10,  .,   .,   .,   .
2,  .,   .,12.8,   .,5,24.6,   .,5,  .,35,   .,   .
3,23.4,7.3,8.2,   .,   .,29.2,   .,   .,  .,22.8,14.8,   .
4,10.2,28.2,4.6,   .,   .,   .,   .,   .,  .,9.3,   .,   .
5,6.3,   .,   .,   .,   .,   .,   .,   .,6.3,   .,6.2,   .
6,15.2,   .,10,   .,   .,   .,   .,15.2,4.5,   .,145.5,   .
7,10.7,   .,7.4,   .,   .,   .,   .,   .,  .,   .,36.4,   .
8,  .,10.4,8.3,   .,   .,   .,   .,   .,  .,   .,1,   .
9,33.5,31.8,   .,9.8,   .,   .,   .,   .,  .,   .,   .,   .
10,39.3,93.4,   .,4.2,   .,6.2,   .,   .,  .,9.2,   .,   .
11,20.3,2.4,   .,   .,   .,10.6,   .,17.4,  .,5.6,   .,   .
12,15,23.6,   .,   .,20,28.4,   .,   .,  .,   .,38.6,   .
13,  .,42.7,   .,   .,12.3,9.3,   .,   .,  .,   .,   .,   .
14,  .,22.3,   .,   .,27.4,9.1,8.8,   .,  .,3,   .,   .
15,21.2,25.4,   .,5,34.6,85.5,   .,   .,1.3,19.4,   .,   .
16,3.5,16.6,   .,   .,   .,   .,   .,   .,  .,16.7,   .,   .
17,  .,13.3,   .,   .,   .,4.6,   .,28.3,53.2,   .,   .,   .
18,  .,4.5,   .,   .,   .,   .,   .,12.6,34.5,   .,5.2,   .
19,  .,5.1,   .,   .,   .,   .,   .,3,10.4,15,98.5,   .
20,  .,15,   .,   .,7.2,7,   .,2,6.7,15.4,63.3,   .
21,  .,   .,   .,   .,   .,   .,   .,   .,  .,48.5,42.3,   .
22,  .,   .,10.7,   .,   .,   .,   .,16.7,  .,1.8,58.1,   .
23,  .,18.6,   .,   .,   .,   .,   .,   .,  .,   .,33.5,   .
24,  .,23.2,   .,14.3,17.2,   .,   .,   .,  .,12.4,17.3,   .
25,  .,   .,   .,2,   .,   .,   .,   .,  .,10.6,5.4,   .
26,  .,   .,   .,   .,   .,   .,   .,   .,  .,32.1,10.1,   .
27,  .,   .,   .,5.4,   .,5,   .,   .,  .,   .,5.9,   .
28,  .,26.3,   .,8.2,   .,   .,4.2,   .,  .,   .,5.2,   .
29,  .,25,11.5,8,   .,   .,6.4,   .,  .,   .,10.3,   .
30,  .,,   .,   .,7.2,   .,   .,   .,  .,   .,   .,   .
31,5.3,,   .,,   .,,   .,   .,,   .,,   .
2017,,,,,,,,,,,,
1,  .,28.5,15,   .,   .,   .,24.5,   .,  .,   .,   .,5.4
2,  .,47.8,3,   .,   .,   .,   .,   .,13.3,   .,   .,   .
3,8.5,31.2,   .,   .,   .,   .,   .,   .,12.8,   .,   .,   .
4,  .,36.4,   .,   .,   .,   .,2.1,   .,  .,5.3,   .,   .
5,  .,21.2,14.5,1.3,3.1,   .,   .,   .,  .,   .,   .,   .
6,  .,31.2,12.7,3,   .,   .,   .,   .,  .,   .,61.3,   .
7,  .,17.8,9.1,0.9,5.2,2.2,   .,13.8,  .,11.3,24.6,   .
8,  .,   .,   .,   .,   .,1.7,   .,   .,27.9,   .,8.7,2
9,  .,   .,   .,   .,4.3,   .,   .,   .,  .,   .,   .,66.9
10,  .,   .,   .,   .,   .,   .,   .,2.1,88.1,   .,4.1,0.8
11,  .,   .,   .,   .,2.1,   .,   .,   .,33.2,   .,   .,102
12,  .,   .,   .,2.5,   .,   .,1.8,   .,15.4,   .,   .,23.4
13,30.5,   .,   .,   .,5.3,   .,   .,   .,13.2,   .,87,11.3
14,40.2,   .,   .,   .,   .,   .,   .,   .,  .,   .,17.1,5.4
15,  .,   .,   .,   .,   .,   .,   .,   .,7.3,   .,   .,17.6
16,  .,   .,   .,11.3,   .,   .,   .,   .,35.6,   .,4.5,12.3
17,  .,   .,   .,3.1,   .,2.3,   .,   .,15.8,   .,   .,   .
18,  .,8.5,   .,3.5,   .,   .,   .,   .,4.1,   .,   .,   .
19,  .,   .,   .,3.1,   .,   .,   .,   .,23.2,   .,   .,   .
20,  .,   .,   .,   .,   .,   .,   .,22.3,9.5,   .,   .,   .
21,  .,   .,   .,   .,18.2,   .,   .,   .,  .,   .,   .,   .
22,  .,   .,   .,   .,   .,   .,   .,   .,  .,   .,   .,   .
23,  .,   .,   .,   .,   .,   .,   .,   .,  .,38.9,   .,   .
24,  .,7.8,   .,   .,2.2,   .,   .,   .,  .,   .,   .,   .
25,  .,27.3,   .,   .,3.1,   .,2.2,   .,25.4,   .,   .,   .
26,  .,   .,   .,4.2,   .,2.7,   .,   .,3.5,   .,34.5,   .
27,  .,   .,   .,3.8,   .,   .,1.7,   .,  .,   .,   .,11.7
28,  .,   .,   .,43.1,   .,   .,   .,   .,  .,   .,   .,62.3
29,  .,,   .,31.5,   .,19.2,   .,8.5,  .,   .,48.3,17.4
30,  .,,   .,   .,   .,   .,   .,   .,  .,   .,40.2,   .
31,  .,,   .,,   .,,1.8,   .,,   .,,   .
