G, JAN,  FEB,  MAR,  APR,  MAY,  JUN,  JUL,  AUG, SEP,  OCT,  NOV,  DEC
19,        .,    .,55.6,   .,0,    .,   .,   .,2.1,   .,1.6,   .
20,38.8,    .,   .,   .,2.8,    .,   .,1.1,10.9,0.4,44.1,0
21,36.1,    .,9.7,   .,0,    .,   .,2,  .,41.4,8.1,0.3
22,32.6,0,0,0.6,3.5,    .,   .,   .,  .,3.6,16.5,0.9
23,10.4,14.3,   .,3.8,   .,    .,   .,   .,  .,0.3,6.1,0.1
24,5.8,29.8,0,   .,0.5,    .,   .,   .,  .,   .,2.1,0
25,0,3.3,3.2,   .,24.9,2.2,   .,20.1,  .,   .,0,0
26,        .,    .,0.1,   .,24.2,5.3,   .,48.1,  .,   .,0,14.6
27,        .,0.3,   .,0,1.4,0,   .,3.9,0,   .,   .,26.1
28,        .,    .,   .,15,0.1,    .,   .,0.1,0,4.5,   .,0.1
29,2.2,,26.9,0,1.8,    .,   .,1.8,1.3,0.1,   .,0
30,        .,,15.8,   .,12.1,    .,3.2,  0.0  2,48.9,   .,   .,21
31,1,,35.5,,13.5,,   .,   .,,   .,,0
2014,,,,,,,,,,,,
1,        .,51.1,6.7,   .,   .,0.3,0.2,0,38.5,   .,   .,16.6
2,        .,31.9,10,   .,0.2,0,   .,   .,22.5,   .,   .,31.3
3,13.1,26.7,   .,   .,6.3,0.1,6.5,   .,1.9,   .,   .,5.3
4,9.5,    .,0,   .,1.6,    .,   .,7.2,3.4,   .,8.8,5.1
5,9.1,14.6,   .,1.3,   .,0,   .,   .,3.6,   .,1.3,6
6,14.1,2.1,0,3.3,   .,0.6,0,0,  .,   .,17.6,1.4
7,        .,    .,   .,0,   .,    .,   .,   .,  .,   .,14.9,2.1
8,        .,24.4,   .,   .,5.1,    .,15.8,   .,  .,1.3,62,0
9,        .,4.7,   .,29.3,   .,    .,16.9,   .,  .,1.4,0.6,   .
10,        .,28.7,   .,0,   .,    .,9.4,   .,12,0,0,   .
11,1.3,49.1,   .,   .,   .,    .,0,   .,20.4,   .,25.9,   .
12,        .,31.8,   .,   .,16.2,    .,0.5,   .,19.1,   .,5.6,   .
13,        .,0,   .,0.3,4.7,    .,5,   .,12.1,   .,5.6,   .
14,2.5,21,   .,0.3,1.3,1.1,1.8,19.9,1.1,9.6,0.1,2.2
15,34.9,    .,   .,9.5,0,    .,1.6,7.9,0.3,59.4,   .,6.7
16,0.7,    .,   .,   .,0,1.3,   .,5.3,  .,27.1,7.7,3.5
17,4.3,1.9,   .,0,0,0,   .,0.6,  .,4.4,10.1,29.9
18,68.8,14,   .,   .,1.4,    .,   .,   .,  .,3.3,71.9,0
19,10.7,1.3,   .,   .,0.9,    .,   .,   .,  .,   .,8.8,   .
20,34.1,18,   .,5.4,   .,0.2,   .,2,3.4,   .,0.4,   .
21,6.7,0,   .,3,   .,2.3,0,50.3,11.6,0.6,   .,   .
22,        .,3.8,0.1,15.6,   .,    .,9.2,   .,3.3,51.2,   .,   .
23,0.2,10.5,30.6,1.5,   .,    .,0.8,4.8,10.6,0,   .,   .
24,13.5,    .,21.9,1.5,0.6,0,0,23.9,  .,6.5,   .,   .
25,3.5,    .,2,0,   .,2.5,0.3,   .,  .,   .,   .,   .
26,        .,    .,   .,   .,4.2,28.7,2.1,0,0.7,   .,0,0.1
27,        .,7.2,   .,1.4,0,4.6,24.3,4.1,  .,   .,0.9,   .
28,        .,4.3,0,7.7,48.6,    .,   .,32.7,  .,   .,3.2,26.3
29,        .,,   .,10.2,3.9,    .,9.6,   .,  .,   .,51.6,0
30,7.3,,   .,1.6,0.9,41.8,45.9,   .,  .,   .,8.8,   .
31,62.2,,   .,,0,,0,   .,,   .,,   .
2015,,,,,,,,,,,,
1,        .,2.6,   .,   .,1.3,    .,   .,   .,  .,   .,   .,   .
2,        .,0.9,0.8,   .,32.2,    .,   .,6.1,  .,0,   .,   .
3,        .,    .,50.2,   .,0.3,    .,   .,   .,0.2,10.8,   .,   .
4,        .,8.9,   .,   .,   .,    .,   .,   .,  .,14,   .,   .
5,        .,0,13.8,6.5,   .,    .,   .,   .,19.1,24.6,   .,   .
6,        .,0.1,0,   .,   .,    .,   .,   .,12.4,0.2,   .,   .
7,        .,0,   .,   .,   .,    .,   .,   .,  .,81,   .,   .
8,0.1,    .,   .,   .,   .,    .,   .,   .,  .,5.9,   .,   .
9,0.1,0,   .,   .,0,    .,2.2,   .,  .,0.2,   .,   .
10,        .,    .,   .,   .,1.7,    .,1.3,   .,  .,   .,   .,   .
11,0.3,    .,   .,   .,   .,    .,   .,   .,  .,3.3,   .,   .
12,20.7,    .,   .,   .,   .,    .,   .,   .,  .,0,   .,   .
13,        .,    .,   .,   .,   .,    .,   .,   .,  .,0.8,   .,   .
14,        .,    .,   .,   .,   .,    .,0,   .,  .,45.7,0,   .
15,0.4,0.4,   .,   .,1.9,5.5,   .,0,8.7,66.6,   .,0.1
16,        .,    .,   .,   .,4.1,12.5,   .,3.5,  .,27.5,   .,   .
17,0.3,    .,1.2,   .,   .,1.6,   .,30.2,0,11.5,   .,   .
18,7,    .,   .,2,   .,    .,   .,8.4,  .,4.8,0,   .
19,        .,    .,   .,13,   .,    .,   .,1.1,0.1,6.4,0.5,   .
